Titre;NACA;Break Sound Barrier;Flirt with space;Crew;Launcher;Spaceraft;;;;;;;;;;;;;
Nom de fichier;NACA;soundbarrier;flirtwspace;ressources1;ressources2;ressources3;;;;;;;;;;;;;
Date;1915;1947;1962;;;;;;;;;;;;;;;;
Mission;1;1;1;;;;;;;;;;;;;;;;
Technology;;;;;;;;;;;;;;;;;;;
Ressource;;;;1;1;1;;;;;;;;;;;;;
Type;4;4;4;1;1;1;0;0;0;0;0;0;;;;;;;
Image;http://upload.wikimedia.org/wikipedia/commons/f/f9/Model_in_Supersonic_Wind_Tunnel_GPN-2000-001631.jpg;http://upload.wikimedia.org/wikipedia/commons/7/7a/Chuck_Yeager.jpg;http://upload.wikimedia.org/wikipedia/commons/2/25/Robert_M._White.jpg;;;;;;;;;;;;;;;;
Texte Court;Precursor to NASA;Cpt C. Yeager in X-1 plane;Major R. M. White in X-15 plane;;;;;;;;;;;;;;;;
Texte Long;The National Advisory Committee for Aeronautics (NACA) was a U.S. federal agency founded on March 3, 1915, to undertake, promote, and institutionalize aeronautical research. On October 1, 1958, the agency was dissolved, and its assets and personnel transferred to the newly created National Aeronautics and Space Administration (NASA). NACA was pronounced as individual letters, rather than as an acronym. Among other advancements, NACA research and development produced the NACA duct, a type of air intake used in modern automotive applications, the NACA cowling and several series of NACA airfoils which are still used in aircraft manufacturing.;"On October 14, 1947, just less than a month after the U.S. Air Force had been created as a separate service, testings achieved their maximum with the first manned supersonic flight, piloted by Air Force Captain Charles ""Chuck"" Yeager in aircraft #46-062 that he had nicknamed Glamorous Glennis for his wife. This rocket-powered airplane was drop launched from the bomb bay of a modified B-29 Superfortress bomber, and it glided to a landing on the dry lake bed. XS-1 flight number 50 is the first one in which the X-1 recorded supersonic flight, at Mach 1.06 (700 miles per hour (1,100 km/h, 610 kn)).";"On 17 July 1962, Major White flew the X-15 to an altitude of 314,750 feet (59 miles, 96 km). This qualified him for an Astronaut Badge, becoming the first ""Winged Astronaut"", and one of a few who have flown into space without a conventional spacecraft. Major Bob White was featured with a cover story in the August 3d, 1962 issue of LIFE magazine, detailing his July 17, 1962 flight.";;;;;;;;;;;;;;;;
Coût;2;2;2;0;3;6;;;;;;;;;;;;;
PV;1;1;1;;;;;;;;;;;;;;;;
Valeur;;;;1;2;3;;;;;;;;;;;;;
Ressources;http://en.wikipedia.org/wiki/National_Advisory_Committee_for_Aeronautics;http://en.wikipedia.org/wiki/Orville_Wright;http://en.wikipedia.org/wiki/X-15#Highest_flights;;;;;;;;;;;;;;;;
moreActions;;;;;;;;;;;;;;;;;;;
moreCards;;;;;;;;;;;;;;;;;;;
moreCoins;;;;;;;;;;;;;;;;;;;
revealTop;;;;;;;;;;;;;;;;;;;
discardDeck;;;;;;;;;;;;;;;;;;;
lotsActions;;;;;;;;;;;;;;;;;;;
sevenDraw;;;;;;;;;;;;;;;;;;;
batchVP;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
